Logger: ;Woehler CDL 210
Start time: ;11/28/2019 8:53:39 PM
Lograte: ;900 s
Records: ;336
Measuring Unit: ;Celsius
Serial Number: ;12345678
Note: ;
 
Data Set;Date:;Time:;CO2:;Temperature:;rel. Humidity:;Dew Point:
    1;11/28/2019;8:53:39 PM;817;21.0;73.1;16.0
    2;11/28/2019;9:08:39 PM;787;20.1;56.4;11.2
    3;11/28/2019;9:23:39 PM;810;20.0;57.7;11.4
    4;11/28/2019;9:38:39 PM;832;20.0;57.7;11.4
    5;11/28/2019;9:53:39 PM;842;20.0;57.9;11.5
    6;11/28/2019;10:08:39 PM;852;19.9;58.2;11.4
    7;11/28/2019;10:23:39 PM;830;20.0;57.9;11.5
    8;11/28/2019;10:38:39 PM;866;20.1;59.0;11.8
    9;11/28/2019;10:53:39 PM;862;20.1;59.5;12.0
   10;11/28/2019;11:08:39 PM;859;20.2;59.3;12.0
   11;11/28/2019;11:23:39 PM;857;20.1;59.4;11.9
   12;11/28/2019;11:38:39 PM;859;20.1;59.6;12.0
   13;11/28/2019;11:53:39 PM;858;20.2;59.6;12.1
   14;11/29/2019;12:08:39 AM;840;20.2;59.4;12.0
   15;11/29/2019;12:23:39 AM;835;20.1;59.5;12.0
   16;11/29/2019;12:38:39 AM;838;20.3;59.5;12.2
   17;11/29/2019;12:53:39 AM;825;20.2;59.3;12.0
   18;11/29/2019;1:08:39 AM;829;20.1;59.3;11.9
   19;11/29/2019;1:23:39 AM;830;20.2;59.3;12.0
   20;11/29/2019;1:38:39 AM;821;20.2;58.9;11.9
   21;11/29/2019;1:53:39 AM;822;20.1;58.9;11.8
   22;11/29/2019;2:08:39 AM;829;20.2;58.8;11.9
   23;11/29/2019;2:23:39 AM;823;20.2;58.6;11.8
   24;11/29/2019;2:38:39 AM;830;20.1;58.5;11.7
   25;11/29/2019;2:53:39 AM;827;20.2;58.3;11.8
   26;11/29/2019;3:08:39 AM;821;20.2;58.0;11.7
   27;11/29/2019;3:23:39 AM;826;20.1;58.0;11.6
   28;11/29/2019;3:38:39 AM;833;20.2;57.9;11.7
   29;11/29/2019;3:53:39 AM;827;20.2;57.5;11.5
   30;11/29/2019;4:08:39 AM;992;20.1;57.6;11.5
   31;11/29/2019;4:23:39 AM;969;20.2;57.7;11.6
   32;11/29/2019;4:38:39 AM;943;20.1;57.4;11.4
   33;11/29/2019;4:53:39 AM;931;20.1;57.4;11.4
   34;11/29/2019;5:08:39 AM;929;20.2;57.3;11.5
   35;11/29/2019;5:23:39 AM;902;20.2;57.0;11.4
   36;11/29/2019;5:38:39 AM;909;20.1;57.0;11.3
   37;11/29/2019;5:53:39 AM;916;20.2;57.0;11.4
   38;11/29/2019;6:08:39 AM;1085;20.2;56.8;11.4
   39;11/29/2019;6:23:39 AM;1081;20.1;56.9;11.3
   40;11/29/2019;6:38:39 AM;1167;19.8;55.8;10.7
   41;11/29/2019;6:53:39 AM;914;19.4;52.9;9.6
   42;11/29/2019;7:08:39 AM;1035;20.0;58.5;11.6
   43;11/29/2019;7:23:39 AM;999;20.2;57.9;11.7
   44;11/29/2019;7:38:39 AM;958;20.1;58.0;11.6
   45;11/29/2019;7:53:39 AM;943;20.0;58.0;11.5
   46;11/29/2019;8:08:39 AM;925;19.9;58.0;11.4
   47;11/29/2019;8:23:39 AM;898;19.9;57.9;11.4
   48;11/29/2019;8:38:39 AM;879;19.8;57.8;11.3
   49;11/29/2019;8:53:39 AM;859;19.7;57.7;11.1
   50;11/29/2019;9:08:39 AM;840;19.7;57.7;11.1
   51;11/29/2019;9:23:39 AM;828;19.7;57.6;11.1
   52;11/29/2019;9:38:39 AM;811;19.6;57.5;11.0
   53;11/29/2019;9:53:39 AM;800;19.6;57.5;11.0
   54;11/29/2019;10:08:39 AM;786;19.5;57.4;10.9
   55;11/29/2019;10:23:39 AM;775;19.4;57.4;10.8
   56;11/29/2019;10:38:39 AM;761;19.4;57.4;10.8
   57;11/29/2019;10:53:39 AM;750;19.4;57.4;10.8
   58;11/29/2019;11:08:39 AM;735;19.3;57.3;10.7
   59;11/29/2019;11:23:39 AM;728;19.3;57.2;10.6
   60;11/29/2019;11:38:39 AM;717;19.3;57.2;10.6
   61;11/29/2019;11:53:39 AM;707;19.3;57.1;10.6
   62;11/29/2019;12:08:39 PM;697;19.2;57.1;10.5
   63;11/29/2019;12:23:39 PM;691;19.2;57.1;10.5
   64;11/29/2019;12:38:39 PM;681;19.2;57.1;10.5
   65;11/29/2019;12:53:39 PM;672;19.2;57.0;10.5
   66;11/29/2019;1:08:39 PM;662;19.1;57.0;10.4
   67;11/29/2019;1:23:39 PM;655;19.1;57.0;10.4
   68;11/29/2019;1:38:39 PM;649;19.1;57.0;10.4
   69;11/29/2019;1:53:39 PM;641;19.1;57.0;10.4
   70;11/29/2019;2:08:39 PM;636;19.0;57.0;10.3
   71;11/29/2019;2:23:39 PM;633;19.0;57.0;10.3
   72;11/29/2019;2:38:39 PM;626;19.0;56.9;10.3
   73;11/29/2019;2:53:39 PM;621;18.9;56.9;10.2
   74;11/29/2019;3:08:39 PM;612;18.9;56.8;10.1
   75;11/29/2019;3:23:39 PM;602;18.9;56.7;10.1
   76;11/29/2019;3:38:39 PM;593;18.9;56.7;10.1
   77;11/29/2019;3:53:39 PM;585;18.8;56.7;10.0
   78;11/29/2019;4:08:39 PM;577;18.8;56.6;10.0
   79;11/29/2019;4:23:39 PM;572;18.8;56.6;10.0
   80;11/29/2019;4:38:39 PM;568;18.7;56.5;9.9
   81;11/29/2019;4:53:39 PM;560;18.7;56.4;9.9
   82;11/29/2019;5:08:39 PM;551;19.3;55.2;10.1
   83;11/29/2019;5:23:39 PM;543;19.3;55.4;10.1
   84;11/29/2019;5:38:39 PM;536;19.1;55.5;10.0
   85;11/29/2019;5:53:39 PM;529;19.0;55.6;9.9
   86;11/29/2019;6:08:39 PM;528;18.9;55.5;9.8
   87;11/29/2019;6:23:39 PM;521;19.2;55.0;9.9
   88;11/29/2019;6:38:39 PM;517;19.5;54.6;10.1
   89;11/29/2019;6:53:39 PM;513;19.4;54.7;10.1
   90;11/29/2019;7:08:39 PM;505;19.3;54.7;10.0
   91;11/29/2019;7:23:39 PM;503;19.4;54.8;10.1
   92;11/29/2019;7:38:39 PM;509;19.3;54.3;9.8
   93;11/29/2019;7:53:39 PM;0;0.0;0.0;NaN
   94;11/29/2019;8:08:39 PM;814;19.8;88.9;17.9
   95;11/29/2019;8:23:39 PM;668;24.8;63.2;17.3
   96;11/29/2019;8:38:39 PM;605;26.3;55.8;16.8
   97;11/29/2019;8:53:39 PM;575;26.8;52.5;16.3
   98;11/29/2019;9:08:39 PM;571;27.0;50.4;15.8
   99;11/29/2019;9:23:39 PM;559;27.1;49.4;15.6
  100;11/29/2019;9:38:39 PM;558;27.1;49.3;15.6
  101;11/29/2019;9:53:39 PM;536;27.1;48.0;15.1
  102;11/29/2019;10:08:39 PM;531;27.1;47.3;14.9
  103;11/29/2019;10:23:39 PM;514;27.0;48.7;15.3
  104;11/29/2019;10:38:39 PM;507;27.0;49.7;15.6
  105;11/29/2019;10:53:39 PM;499;26.9;50.6;15.8
  106;11/29/2019;11:08:39 PM;492;26.9;50.5;15.8
  107;11/29/2019;11:23:39 PM;486;26.9;50.9;15.9
  108;11/29/2019;11:38:39 PM;477;26.9;51.1;15.9
  109;11/29/2019;11:53:39 PM;473;26.9;51.4;16.0
  110;11/30/2019;12:08:39 AM;472;26.9;51.3;16.0
  111;11/30/2019;12:23:39 AM;468;26.8;51.0;15.8
  112;11/30/2019;12:38:39 AM;466;26.8;50.6;15.7
  113;11/30/2019;12:53:39 AM;463;26.8;50.3;15.6
  114;11/30/2019;1:08:39 AM;461;26.8;50.3;15.6
  115;11/30/2019;1:23:39 AM;455;26.8;50.0;15.5
  116;11/30/2019;1:38:39 AM;456;26.8;50.0;15.5
  117;11/30/2019;1:53:39 AM;452;26.8;50.1;15.5
  118;11/30/2019;2:08:39 AM;451;26.8;50.0;15.5
  119;11/30/2019;2:23:39 AM;450;26.8;50.2;15.6
  120;11/30/2019;2:38:39 AM;451;26.8;50.2;15.6
  121;11/30/2019;2:53:39 AM;447;26.8;50.1;15.5
  122;11/30/2019;3:08:39 AM;443;26.8;49.5;15.4
  123;11/30/2019;3:23:39 AM;441;26.8;49.5;15.4
  124;11/30/2019;3:38:39 AM;441;26.7;49.3;15.2
  125;11/30/2019;3:53:39 AM;438;26.7;48.9;15.1
  126;11/30/2019;4:08:39 AM;435;26.7;48.8;15.0
  127;11/30/2019;4:23:39 AM;434;26.7;48.9;15.1
  128;11/30/2019;4:38:39 AM;437;26.7;48.8;15.0
  129;11/30/2019;4:53:39 AM;432;26.7;48.5;14.9
  130;11/30/2019;5:08:39 AM;431;26.7;47.5;14.6
  131;11/30/2019;5:23:39 AM;428;26.8;47.2;14.6
  132;11/30/2019;5:38:39 AM;427;26.7;46.4;14.3
  133;11/30/2019;5:53:39 AM;423;26.7;45.2;13.9
  134;11/30/2019;6:08:39 AM;423;26.7;44.5;13.6
  135;11/30/2019;6:23:39 AM;423;26.8;44.0;13.5
  136;11/30/2019;6:38:39 AM;418;26.8;43.7;13.4
  137;11/30/2019;6:53:39 AM;416;26.8;43.0;13.2
  138;11/30/2019;7:08:39 AM;416;26.8;42.7;13.1
  139;11/30/2019;7:23:39 AM;413;26.7;42.7;13.0
  140;11/30/2019;7:38:39 AM;413;26.8;42.4;13.0
  141;11/30/2019;7:53:39 AM;412;26.8;42.6;13.0
  142;11/30/2019;8:08:39 AM;414;26.8;42.3;12.9
  143;11/30/2019;8:23:39 AM;418;26.8;41.9;12.8
  144;11/30/2019;8:38:39 AM;449;26.8;42.3;12.9
  145;11/30/2019;8:53:39 AM;456;26.9;41.7;12.8
  146;11/30/2019;9:08:39 AM;553;26.9;43.9;13.6
  147;11/30/2019;9:23:39 AM;755;27.1;46.7;14.7
  148;11/30/2019;9:38:39 AM;605;27.2;47.4;15.0
  149;11/30/2019;9:53:39 AM;669;27.3;50.2;16.0
  150;11/30/2019;10:08:39 AM;624;27.3;49.5;15.8
  151;11/30/2019;10:23:39 AM;611;27.4;48.5;15.6
  152;11/30/2019;10:38:39 AM;620;27.4;47.7;15.3
  153;11/30/2019;10:53:39 AM;644;27.6;47.2;15.3
  154;11/30/2019;11:08:39 AM;659;27.7;47.6;15.6
  155;11/30/2019;11:23:39 AM;677;27.7;48.2;15.8
  156;11/30/2019;11:38:39 AM;673;27.9;47.7;15.8
  157;11/30/2019;11:53:39 AM;626;28.1;46.0;15.4
  158;11/30/2019;12:08:39 PM;658;28.2;45.6;15.3
  159;11/30/2019;12:23:39 PM;749;28.3;44.6;15.1
  160;11/30/2019;12:38:39 PM;823;28.4;41.6;14.1
  161;11/30/2019;12:53:39 PM;1012;28.4;41.5;14.1
  162;11/30/2019;1:08:39 PM;1086;28.4;44.2;15.0
  163;11/30/2019;1:23:39 PM;1300;28.6;49.5;17.0
  164;11/30/2019;1:38:39 PM;1248;28.6;50.7;17.4
  165;11/30/2019;1:53:39 PM;1385;28.6;52.8;18.0
  166;11/30/2019;2:08:39 PM;1223;28.6;48.8;16.8
  167;11/30/2019;2:23:39 PM;1268;28.6;48.0;16.5
  168;11/30/2019;2:38:39 PM;1280;28.7;48.1;16.6
  169;11/30/2019;2:53:39 PM;1373;28.8;49.5;17.2
  170;11/30/2019;3:08:39 PM;1357;29.0;50.0;17.5
  171;11/30/2019;3:23:39 PM;1272;29.1;49.6;17.5
  172;11/30/2019;3:38:39 PM;1315;29.1;50.5;17.8
  173;11/30/2019;3:53:39 PM;1323;29.0;49.8;17.5
  174;11/30/2019;4:08:39 PM;1244;28.9;49.8;17.4
  175;11/30/2019;4:23:39 PM;1238;28.9;49.4;17.2
  176;11/30/2019;4:38:39 PM;1115;28.8;47.2;16.4
